Date,SEK
2020-11-17,8.6298
2020-11-16,8.6187
2020-11-13,8.6914
2020-11-12,8.649
2020-11-11,8.6348
2020-11-10,8.6176
2020-11-09,8.6292
2020-11-06,8.6409
2020-11-05,8.6942
2020-11-04,8.785
2020-11-03,8.8306
2020-11-02,8.9067
2020-10-30,8.8977
2020-10-29,8.93
2020-10-28,8.8482
2020-10-27,8.7249
2020-10-26,8.7452
2020-10-23,8.7474
2020-10-22,8.7663
2020-10-21,8.7268
2020-10-20,8.748
2020-10-19,8.8292
2020-10-16,8.8485
2020-10-15,8.8746
2020-10-14,8.8222
2020-10-13,8.8309
2020-10-12,8.8095
2020-10-09,8.7821
2020-10-08,8.8635
2020-10-07,8.8858
2020-10-06,8.9605
2020-10-05,8.9001
2020-10-02,8.9357
2020-10-01,8.9138
2020-09-30,8.9571
2020-09-29,8.9671
2020-09-28,9.0427
2020-09-25,9.1283
2020-09-24,9.0996
2020-09-23,9.0108
2020-09-22,8.9114
2020-09-21,8.8468
2020-09-18,8.7658
2020-09-17,8.7734
2020-09-16,8.8057
2020-09-15,8.7929
2020-09-14,8.7688
2020-09-11,8.7761
2020-09-10,8.776
2020-09-09,8.7465
2020-09-08,8.831
2020-09-07,8.7704
2020-09-04,8.7414
2020-09-03,8.7366
2020-09-02,8.7175
2020-09-01,8.6848
2020-08-31,8.6454
2020-08-28,8.6247
2020-08-27,8.7248
2020-08-26,8.7188
2020-08-25,8.7549
2020-08-24,8.7927
2020-08-21,8.7955
2020-08-20,8.7091
2020-08-19,8.7051
2020-08-18,8.6476
2020-08-17,8.6901
2020-08-14,8.6908
2020-08-13,8.6886
2020-08-12,8.6927
2020-08-11,8.7587
2020-08-10,8.7592
2020-08-07,8.7517
2020-08-06,8.6882
2020-08-05,8.6794
2020-08-04,8.7193
2020-08-03,8.7486
2020-07-31,8.7795
2020-07-30,8.7095
2020-07-29,8.7219
2020-07-28,8.7735
2020-07-27,8.7336
2020-07-24,8.8387
2020-07-23,8.8628
2020-07-22,8.8643
2020-07-21,8.8773
2020-07-20,8.9727
2020-07-17,9.0343
2020-07-16,9.0827
2020-07-15,9.0693
2020-07-14,9.1041
2020-07-13,9.1987
2020-07-10,9.1991
2020-07-09,9.2369
2020-07-08,9.2011
2020-07-07,9.2641
2020-07-06,9.2508
2020-07-03,9.315
2020-07-02,9.3161
2020-07-01,9.3079
2020-06-30,9.3211
2020-06-29,9.3297
2020-06-26,9.3366
2020-06-25,9.3137
2020-06-24,9.3646
2020-06-23,9.2858
2020-06-22,9.3731
2020-06-19,9.4738
2020-06-18,9.4287
2020-06-17,9.3422
2020-06-16,9.3711
2020-06-15,9.2817
2020-06-12,9.3327
2020-06-11,9.3224
2020-06-10,9.1805
2020-06-09,9.1916
2020-06-08,9.2008
2020-06-05,9.2094
2020-06-04,9.1938
2020-06-03,9.2841
2020-06-02,9.3305
2020-06-01,9.3648
2020-05-29,9.432
2020-05-28,9.5167
2020-05-27,9.6183
2020-05-26,9.6186
2020-05-25,9.6722
2020-05-22,9.6721
2020-05-21,9.6177
2020-05-20,9.5891
2020-05-19,9.6844
2020-05-18,9.7058
2020-05-15,9.8652
2020-05-14,9.8034
2020-05-13,9.8131
2020-05-12,9.7799
2020-05-11,9.8776
2020-05-08,9.7697
2020-05-07,9.8106
2020-05-06,9.847
2020-05-05,9.8418
2020-05-04,9.8529
2020-05-01,9.8482
2020-04-30,9.7579
2020-04-29,9.8465
2020-04-28,9.8995
2020-04-27,10.0154
2020-04-24,10.0438
2020-04-23,10.0666
2020-04-22,10.0948
2020-04-21,10.0979
2020-04-20,10.0234
2020-04-17,9.9844
2020-04-16,10.031
2020-04-15,10.0324
