Date,Open,High,Low,Close,Adj Close,Volume
2017-08-08,8.146290,8.196800,8.111110,8.144970,8.144970,0
2017-08-09,8.172670,8.225620,8.169200,8.173620,8.173620,0
2017-08-10,8.172000,8.192990,8.140900,8.173630,8.173630,0
2017-08-11,8.135830,8.173510,8.124930,8.136290,8.136290,0
2017-08-14,8.120200,8.129610,8.099200,8.120030,8.120030,0
2017-08-15,8.116920,8.144310,8.057950,8.114700,8.114700,0
2017-08-16,8.069800,8.120810,8.062230,8.071430,8.071430,0
2017-08-17,8.069620,8.145340,8.057100,8.073610,8.073610,0
2017-08-18,8.142250,8.145311,8.100300,8.143320,8.143320,0
2017-08-21,8.109850,8.121910,8.056500,8.111470,8.111470,0
2017-08-22,8.076080,8.120230,8.064500,8.076010,8.076010,0
2017-08-23,8.098500,8.115610,8.067300,8.100680,8.100680,0
2017-08-24,8.053120,8.079200,8.049830,8.053410,8.053410,0
2017-08-25,8.069430,8.092110,7.987730,8.068500,8.068500,0
2017-08-28,7.944100,7.981950,7.944100,7.944000,7.944000,0
2017-08-29,7.975650,7.986520,7.907110,7.977600,7.977600,0
2017-08-30,7.940050,7.993130,7.926600,7.939610,7.939610,0
2017-08-31,7.972980,8.019430,7.944610,7.971000,7.971000,0
2017-09-01,7.938040,8.006480,7.913050,7.937840,7.937840,0
2017-09-04,7.975000,7.987990,7.946800,7.978100,7.978100,0
2017-09-05,7.962900,7.974930,7.938530,7.962410,7.962410,0
2017-09-06,7.959740,7.974520,7.940000,7.955400,7.955400,0
2017-09-07,7.971190,7.989750,7.900390,7.968090,7.968090,0
2017-09-08,7.916100,7.950990,7.888170,7.918660,7.918660,0
2017-09-11,7.943250,8.008310,7.929000,7.941750,7.941750,0
2017-09-12,8.006680,8.022150,7.957360,8.003800,8.003800,0
2017-09-13,7.965190,8.036810,7.952830,7.965500,7.965500,0
2017-09-14,8.029810,8.055980,8.003900,8.030170,8.030170,0
2017-09-15,7.988680,8.003320,7.936200,7.986600,7.986600,0
2017-09-18,7.966580,7.980660,7.942080,7.968940,7.968940,0
2017-09-19,7.957380,7.969220,7.931700,7.953800,7.953800,0
2017-09-20,7.952430,7.960070,7.931500,7.952630,7.952630,0
2017-09-21,8.025560,8.029560,7.964350,8.026350,8.026350,0
2017-09-22,7.965360,7.975500,7.941700,7.967290,7.967290,0
2017-09-25,7.991880,8.048120,7.978400,7.989300,7.989300,0
2017-09-26,8.033000,8.149700,8.031100,8.036340,8.036340,0
2017-09-27,8.129130,8.179760,8.121900,8.125640,8.125640,0
2017-09-28,8.140800,8.175200,8.124800,8.144290,8.144290,0
2017-09-29,8.112800,8.189990,8.097010,8.115210,8.115210,0
2017-10-02,8.145030,8.190160,8.144000,8.146990,8.146990,0
2017-10-03,8.168511,8.196220,8.120700,8.167280,8.167280,0
2017-10-04,8.130270,8.130270,8.093080,8.130260,8.130260,0
2017-10-05,8.096500,8.139420,8.081800,8.093700,8.093700,0
2017-10-06,8.130900,8.169700,8.116100,8.135040,8.135040,0
2017-10-09,8.110320,8.132690,8.105200,8.110560,8.110560,0
2017-10-10,8.119900,8.125300,8.064680,8.122710,8.122710,0
2017-10-11,8.068330,8.081330,8.041000,8.064800,8.064800,0
2017-10-12,8.040970,8.112010,8.023800,8.040840,8.040840,0
2017-10-13,8.118300,8.140510,8.082730,8.122280,8.122280,0
2017-10-16,8.117240,8.143410,8.096860,8.117440,8.117440,0
2017-10-17,8.098900,8.175580,8.098900,8.102260,8.102260,0
2017-10-18,8.150910,8.182551,8.143400,8.151640,8.151640,0
2017-10-19,8.136540,8.178800,8.122280,8.136211,8.136211,0
2017-10-20,8.122810,8.181390,8.119200,8.125510,8.125510,0
2017-10-23,8.177651,8.222850,8.165300,8.178280,8.178280,0
2017-10-24,8.198381,8.213610,8.185500,8.197700,8.197700,0
2017-10-25,8.223690,8.256500,8.205900,8.223720,8.223720,0
2017-10-26,8.205900,8.330210,8.191450,8.210460,8.210460,0
2017-10-27,8.362520,8.399740,8.343690,8.364650,8.364650,0
2017-10-30,8.364370,8.372720,8.330000,8.366730,8.366730,0
2017-10-31,8.350520,8.379890,8.342200,8.348410,8.348410,0
2017-11-01,8.373881,8.405660,8.359640,8.370500,8.370500,0
2017-11-02,8.393900,8.403430,8.360090,8.397300,8.397300,0
2017-11-03,8.392910,8.442000,8.380000,8.392610,8.392610,0
2017-11-06,8.429890,8.445700,8.395240,8.427200,8.427200,0
2017-11-07,8.395070,8.440740,8.387500,8.394340,8.394340,0
2017-11-08,8.383880,8.400210,8.375200,8.381800,8.381800,0
2017-11-09,8.379990,8.396180,8.353200,8.381630,8.381630,0
2017-11-10,8.374500,8.388790,8.348600,8.373280,8.373280,0
2017-11-13,8.356320,8.397840,8.352900,8.357090,8.357090,0
2017-11-14,8.386620,8.446490,8.371850,8.383200,8.383200,0
2017-11-15,8.402140,8.452210,8.378530,8.400440,8.400440,0
2017-11-16,null,null,null,null,null,null
2017-11-17,8.396610,8.457320,8.367300,8.396090,8.396090,0
2017-11-20,8.452100,8.484880,8.419300,8.455680,8.455680,0
2017-11-21,8.478760,8.526400,8.418400,8.478200,8.478200,0
2017-11-22,8.425000,8.442390,8.373900,8.431040,8.431040,0
2017-11-23,8.340680,8.341891,8.293600,8.340740,8.340740,0
2017-11-24,8.294950,8.314610,8.271800,8.294480,8.294480,0
2017-11-27,8.282280,8.311860,8.273700,8.283920,8.283920,0
2017-11-28,8.289710,8.345480,8.282600,8.289050,8.289050,0
2017-11-29,8.339800,8.385720,8.313420,8.340700,8.340700,0
2017-11-30,8.369670,8.396170,8.315300,8.368660,8.368660,0
2017-12-01,8.379200,8.384320,8.341400,8.382480,8.382480,0
2017-12-04,8.386780,8.427700,8.366500,8.385560,8.385560,0
2017-12-05,8.419490,8.456280,8.376060,8.419180,8.419180,0
2017-12-06,8.364380,8.438040,8.329251,8.362930,8.362930,0
2017-12-07,8.420260,8.469760,8.416900,8.417100,8.417100,0
2017-12-08,8.484440,8.515250,8.453190,8.486430,8.486430,0
2017-12-11,8.457900,8.498910,8.434000,8.461970,8.461970,0
2017-12-12,8.497230,8.522030,8.405100,8.499360,8.499360,0
2017-12-13,8.415200,8.458970,8.401800,8.415900,8.415900,0
2017-12-14,8.409660,8.445240,8.353900,8.407000,8.407000,0
2017-12-15,8.439640,8.518900,8.414900,8.439710,8.439710,0
2017-12-18,8.499300,8.506500,8.406900,8.498700,8.498700,0
2017-12-19,8.435440,8.445400,8.405500,8.433830,8.433830,0
2017-12-20,8.406110,8.409940,8.318900,8.402100,8.402100,0
2017-12-21,8.387960,8.419930,8.383600,8.391970,8.391970,0
2017-12-22,8.387730,8.408310,8.344970,8.383750,8.383750,0
2017-12-25,8.338200,8.394700,8.064040,8.337300,8.337300,0
2017-12-26,8.318540,8.362510,8.293930,8.324200,8.324200,0
2017-12-27,8.347800,8.354420,8.270160,8.348780,8.348780,0
2017-12-28,8.265300,8.270070,8.230000,8.265270,8.265270,0
2017-12-29,8.247400,8.249170,8.170630,8.245720,8.245720,0
2018-01-01,8.179900,8.192400,7.927950,8.179900,8.179900,0
2018-01-02,8.180210,8.188870,8.128300,8.179450,8.179450,0
2018-01-03,8.155900,8.188700,8.155800,8.156900,8.156900,0
2018-01-04,8.179900,8.183990,8.122800,8.180600,8.180600,0
2018-01-05,8.132750,8.163921,8.123200,8.132090,8.132090,0
2018-01-08,8.144600,8.219880,8.131700,8.145621,8.145621,0
2018-01-09,8.204570,8.250280,8.191100,8.203500,8.203500,0
2018-01-10,8.235280,8.237230,8.160240,8.235600,8.235600,0
2018-01-11,8.194680,8.203990,8.123900,8.192000,8.192000,0
2018-01-12,8.124070,8.128590,8.085800,8.124110,8.124110,0
2018-01-15,8.046200,8.059170,8.002000,8.042400,8.042400,0
2018-01-16,8.014180,8.054300,8.003920,8.012170,8.012170,0
2018-01-17,8.029800,8.070820,8.006260,8.031901,8.031901,0
2018-01-18,8.050530,8.057010,8.005800,8.047870,8.047870,0
2018-01-19,8.017510,8.042250,7.998230,8.015300,8.015300,0
2018-01-22,8.022200,8.048230,8.012000,8.022800,8.022800,0
2018-01-23,8.025100,8.046450,8.007700,8.022600,8.022600,0
2018-01-24,7.998480,8.008290,7.923800,7.997230,7.997230,0
2018-01-25,7.927190,7.932550,7.828600,7.930800,7.930800,0
2018-01-26,7.926770,7.929890,7.852860,7.926590,7.926590,0
2018-01-29,7.865500,7.912960,7.862300,7.869410,7.869410,0
2018-01-30,7.883880,7.925010,7.859400,7.881400,7.881400,0
2018-01-31,7.887630,7.891260,7.826630,7.885460,7.885460,0
2018-02-01,7.879760,7.902610,7.854000,7.876300,7.876300,0
2018-02-02,7.840110,7.925730,7.837600,7.841820,7.841820,0
2018-02-05,7.903850,7.938660,7.878100,7.903850,7.903850,0
2018-02-06,7.979250,8.007400,7.927680,7.979420,7.979420,0
2018-02-07,7.945000,8.042100,7.935000,7.947800,7.947800,0
2018-02-08,8.081170,8.139610,8.044070,8.078600,8.078600,0
2018-02-09,8.103700,8.156350,8.087900,8.104160,8.104160,0
2018-02-12,8.089400,8.111460,8.059000,8.089960,8.089960,0
2018-02-13,8.057180,8.067150,8.023790,8.053000,8.053000,0
2018-02-14,8.027160,8.103610,7.987450,8.025490,8.025490,0
2018-02-15,7.940940,7.973440,7.912400,7.941670,7.941670,0
2018-02-16,7.921300,7.971960,7.896970,7.926660,7.926660,0
2018-02-19,7.963690,8.004680,7.947500,7.964630,7.964630,0
2018-02-20,7.988400,8.101980,7.984000,7.990500,7.990500,0
2018-02-21,8.095930,8.111640,8.078600,8.096800,8.096800,0
2018-02-22,8.118050,8.147030,8.097600,8.119460,8.119460,0
2018-02-23,8.118660,8.184110,8.117600,8.120771,8.120771,0
2018-02-26,8.178740,8.182990,8.121700,8.179200,8.179200,0
2018-02-27,8.150960,8.233130,8.132300,8.151140,8.151140,0
2018-02-28,8.229260,8.310700,8.217400,8.225100,8.225100,0
2018-03-01,8.291880,8.316780,8.256730,8.292710,8.292710,0
2018-03-02,8.243800,8.286700,8.228030,8.244250,8.244250,0
2018-03-05,8.245400,8.289211,8.236100,8.247600,8.247600,0
2018-03-06,8.258460,8.273650,8.202600,8.257600,8.257600,0
2018-03-07,8.204070,8.259950,8.201700,8.204130,8.204130,0
2018-03-08,8.225600,8.276200,8.211970,8.227010,8.227010,0
2018-03-09,8.271400,8.274610,8.226570,8.268900,8.268900,0
2018-03-12,8.239200,8.266501,8.218600,8.242580,8.242580,0
2018-03-13,8.237020,8.250800,8.191380,8.236380,8.236380,0
2018-03-14,8.211450,8.218190,8.174370,8.210600,8.210600,0
2018-03-15,8.179980,8.189310,8.152560,8.180370,8.180370,0
2018-03-16,8.182551,8.209510,8.171100,8.181090,8.181090,0
2018-03-19,8.193610,8.225790,8.168590,8.191900,8.191900,0
2018-03-20,8.161300,8.205940,8.155300,8.163630,8.163630,0
2018-03-21,8.215620,8.227850,8.195280,8.215780,8.215780,0
2018-03-22,8.186740,8.249120,8.158250,8.185700,8.185700,0
2018-03-23,8.239330,8.281860,8.226600,8.239820,8.239820,0
2018-03-26,8.243100,8.244510,8.177500,8.239300,8.239300,0
2018-03-27,8.185380,8.255070,8.169500,8.177300,8.177300,0
2018-03-28,8.226600,8.330790,8.217400,8.225010,8.225010,0
2018-03-29,8.352640,8.383090,8.332000,8.354780,8.354780,0
2018-03-30,8.357000,8.361320,8.324420,8.354700,8.354700,0
2018-04-02,8.350920,8.396640,8.325100,8.350721,8.350721,0
2018-04-03,8.394800,8.400430,8.354500,8.395100,8.395100,0
2018-04-04,8.387981,8.415840,8.376210,8.388500,8.388500,0
2018-04-05,8.389690,8.440070,8.380100,8.390130,8.390130,0
2018-04-06,8.421200,8.450690,8.382470,8.421910,8.421910,0
2018-04-09,8.391120,8.398010,8.342700,8.392390,8.392390,0
2018-04-10,8.357490,8.366340,8.289600,8.357920,8.357920,0
2018-04-11,8.297740,8.329430,8.292320,8.297330,8.297330,0
2018-04-12,8.323550,8.447520,8.315700,8.324210,8.324210,0
2018-04-13,8.406590,8.455510,8.398300,8.405840,8.405840,0
2018-04-16,8.469800,8.485760,8.397100,8.471700,8.471700,0
2018-04-17,8.413240,8.427660,8.396300,8.412830,8.412830,0
2018-04-18,8.400530,8.425610,8.373170,8.400660,8.400660,0
2018-04-19,8.399780,8.409920,8.370030,8.398560,8.398560,0
2018-04-20,8.405990,8.463520,8.400000,8.404960,8.404960,0
2018-04-23,8.453910,8.504100,8.444500,8.451900,8.451900,0
2018-04-24,8.515300,8.527690,8.490180,8.517190,8.517190,0
2018-04-25,8.508400,8.565470,8.503800,8.506800,8.506800,0
